city,city,lng,lat,temp,humidity,cloudiness,windspeed
0,bluff,168.33,-46.6,39.0,83,0,3.0
1,east london,27.91,-33.02,63.99,62,0,14.12
2,svetlaya,138.33,46.54,50.38,87,99,4.97
3,kenai,-151.26,60.55,60.8,55,40,4.7
4,vestmannaeyjar,-20.27,63.44,50.0,81,75,20.8
5,poum,164.02,-20.23,74.39,75,100,14.07
6,kieta,155.63,-6.22,78.76,80,0,3.18
7,san patricio,-104.7,19.22,86.0,74,20,11.41
8,torbay,-52.73,47.67,69.01,60,90,11.41
9,westport,-73.36,41.14,78.01,73,1,8.05
10,luderitz,15.16,-26.65,75.2,22,0,9.17
11,olafsvik,-23.71,64.89,49.23,74,97,14.23
12,praia da vitoria,-27.07,38.73,71.6,64,20,7.83
13,sterling,-77.43,39.01,82.0,54,75,8.05
14,hobart,147.33,-42.88,36.0,93,100,3.36
15,bubaque,-15.83,11.28,81.72,83,0,15.1
16,marsabit,37.99,2.33,68.05,69,59,21.81
17,tual,132.75,-5.67,80.56,83,85,22.95
18,gemena,19.77,3.25,71.38,94,100,2.3
19,ribeira grande,-28.7,38.52,66.2,77,75,9.17
20,petropavlovsk-kamchatskiy,158.65,53.05,41.0,100,90,4.47
21,thenzawl,92.75,23.32,68.72,100,100,1.79
22,urdoma,48.54,61.75,50.92,72,26,2.95
23,faanui,-151.75,-16.48,79.9,79,100,3.94
24,geraldton,114.6,-28.77,51.8,81,0,5.82
25,mehamn,27.85,71.04,46.4,81,75,24.16
26,hermanus,19.23,-34.42,53.01,72,0,1.99
27,mataura,168.86,-46.19,39.0,83,1,3.0
28,carnarvon,113.63,-24.87,59.0,72,0,11.41
29,cape town,18.42,-33.93,64.0,58,0,10.29
30,barrow,-156.79,71.29,46.4,65,1,8.05
31,tapes,-51.4,-30.67,69.98,81,95,11.12
32,bairiki,172.98,1.33,77.0,88,75,2.24
33,port alfred,26.89,-33.59,55.99,78,0,7.0
34,ilulissat,-51.1,69.22,33.8,62,90,6.93
35,albany,-73.97,42.6,88.0,42,39,5.44
36,atuona,-139.03,-9.8,80.1,76,20,11.18
37,new norfolk,147.06,-42.78,39.99,85,100,2.17
38,qarqin,66.04,37.42,78.28,17,0,9.31
39,thompson,-97.86,55.74,37.4,93,90,14.99
40,kapaa,-159.32,22.08,77.0,94,90,14.99
41,allapalli,80.07,19.42,80.2,80,48,5.73
42,sorong,131.25,-0.88,78.93,85,89,6.11
